City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,tolanaro,-25.0319,46.9987,73.58,87,2,11.48,MG,1730682869
168,eilat,29.5581,34.9482,67.77,49,0,4.65,IL,1730682870
169,hotan,37.0997,79.9269,49.24,34,6,0.31,CN,1730682871
170,mildura,-34.2,142.15,70.07,45,0,9.22,AU,1730682873
171,liaoyuan,42.9036,125.1358,36.41,66,98,13.76,CN,1730682874
172,college,64.8569,-147.8028,24.75,82,100,5.75,US,1730682875
173,san martin,-33.081,-68.4681,74.68,50,0,15.28,AR,1730682877
174,nalgonda,17.05,79.2667,71.49,89,15,3.42,IN,1730682878
175,levuka,50.1834,-105.4011,42.69,55,71,8.21,CA,1730682879
176,castillos,-34.1667,-53.8333,64.53,92,100,11.25,UY,1730682881
177,talnakh,69.4865,88.3972,20.28,94,100,18.7,RU,1730682882
178,port elizabeth,-33.918,25.5701,59.31,98,100,7.0,ZA,1730682885
179,fortuna,40.5982,-124.1573,54.93,83,0,12.66,US,1730682887
180,ocean shores,46.9737,-124.1563,54.01,89,100,1.99,US,1730682722
181,trairi,-3.2778,-39.2689,77.25,77,94,13.42,BR,1730682890
182,bandarbeyla,9.4942,50.8122,78.03,80,88,6.42,SO,1730682891
183,lata,40.1629,-8.3327,60.08,66,100,4.61,PT,1730682893
184,carnarvon,-24.8667,113.6333,71.73,67,9,15.14,AU,1730682894
185,murudeshwara,14.0943,74.4845,82.99,57,0,4.27,IN,1730682895
186,sosnovka,56.255,51.2842,26.47,87,93,8.77,RU,1730682896
187,howard springs,-12.497,131.047,89.87,67,15,5.57,AU,1730682898
188,oliver,49.1831,-119.5524,40.71,72,61,1.7,CA,1730682899
189,tura,25.5198,90.2201,68.63,85,0,3.09,IN,1730682612
190,florence,43.7667,11.25,59.23,79,0,3.15,IT,1730682901
191,east london,-33.0153,27.9116,64.29,86,100,14.03,ZA,1730682903
192,sihanoukville,10.6093,103.5296,84.15,79,40,3.44,KH,1730682904
193,pasuquin,18.3328,120.6177,78.75,89,75,6.91,PH,1730682905
194,bath,51.3779,-2.3591,51.64,90,0,5.17,GB,1730682907
195,amahai,-3.3333,128.9167,82.81,71,64,2.04,ID,1730682908
196,jaru,-10.4389,-62.4664,71.04,94,100,0.58,BR,1730682909
197,st. john's,47.5649,-52.7093,36.16,74,96,4.0,CA,1730682910
198,zeya,53.75,127.2667,19.56,62,9,3.85,RU,1730682912
199,magadan,59.5667,150.8,15.33,66,33,10.54,RU,1730682913
200,aykhal,66.0,111.5,-11.74,100,68,6.8,RU,1730682914
201,nakur,29.9167,77.3,65.14,61,0,1.48,IN,1730682916
202,hithadhoo,-0.6,73.0833,81.73,73,100,9.93,MV,1730682917
203,lesnoy,57.6198,63.0784,28.09,66,100,15.75,RU,1730682918
204,georgievka,49.3314,81.5761,43.07,64,100,17.11,KZ,1730682919
205,pariaman,-0.619,100.12,78.85,78,100,2.55,ID,1730682921
206,nova sintra,14.8667,-24.7167,80.01,78,28,8.88,CV,1730682922
207,lerwick,60.1545,-1.1494,52.39,89,100,7.63,GB,1730682923
208,mil'kovo,55.6078,37.7956,33.35,61,100,11.9,RU,1730682924
209,nampula,-15.1165,39.2666,73.35,88,40,5.75,MZ,1730682925
